Problem,Paper_LB,Paper_UB,Paper_Best,Paper_Avg,My_GA_Best,My_GA_Avg,CI_Lower,CI_Upper,Avg_Time(s),Init_20_Best,Init_20_Avg
mt10c1,655,927,927,928.0,977,985.2,980.79,989.61,8.68,1083,1229.2
mt10cc,655,914,910,910.0,920,942.2,930.98,953.42,6.41,1124,1217.65
mt10x,655,929,918,918.0,937,951.2,944.49,957.91,33.64,1064,1241.25
mt10xx,655,929,918,918.0,940,945.2,940.2,950.2,53.5,1123,1243.7
mt10xxx,655,936,918,918.0,937,945.0,933.93,956.07,56.09,1125,1240.25
mt10xy,655,913,905,906.0,951,960.4,952.73,968.07,16.17,1134,1227.45
mt10xyz,655,849,847,847.0,858,883.4,871.78,895.02,52.69,1026,1181.9
setb4c9,857,924,914,914.0,959,964.4,957.85,970.95,103.49,1126,1227.4
setb4cc,857,909,909,910.0,944,960.4,948.71,972.09,87.54,1189,1281.8
setb4x,846,937,925,925.0,985,1006.8,992.63,1020.97,12.46,1189,1283.45
setb4xx,847,930,925,925.0,976,990.6,980.38,1000.82,19.42,1143,1241.95
setb4xxx,846,925,925,925.0,957,964.6,959.47,969.73,100.55,1177,1270.25
setb4xy,845,924,916,916.0,941,951.2,941.4,961.0,99.28,1144,1235.65
setb4xyz,838,914,905,908.1,931,936.0,932.32,939.68,81.07,1120,1206.0
seti5c12,1027,1185,1174,1174.0,1197,1212.6,1201.73,1223.47,143.16,1402,1592.75
seti5cc,955,1136,1136,1136.2,1177,1198.4,1182.96,1213.84,150.44,1467,1580.0
seti5x,955,1218,1209,1209.0,1257,1264.2,1258.45,1269.95,154.35,1511,1593.65
seti5xx,955,1204,1204,1204.0,1258,1269.4,1260.59,1278.21,153.0,1456,1568.95
seti5xxx,955,1213,1204,1204.0,1243,1260.0,1251.22,1268.78,152.83,1487,1579.95
seti5xy,955,1148,1136,1136.3,1184,1206.2,1194.45,1217.95,153.86,1435,1573.3
seti5xyz,955,1127,1125,1126.5,1169,1177.4,1170.42,1184.38,154.95,1413,1551.9
