Problem,Paper_LB,Paper_UB,Paper_Best,Paper_Avg,My_GA_Best,My_GA_Avg,CI_Lower,CI_Upper,Avg_Time(s),Init_20_Best,Init_20_Avg
01a,2505,2530,2516,2518.0,2617,2671.4,2637.51,2705.29,46.8,3090,3312.5
02a,2228,2244,2231,2231.0,2357,2390.8,2374.63,2406.97,162.33,2912,3175.95
03a,2228,2235,2232,2232.3,2396,2432.8,2403.58,2462.02,156.55,2850,3136.45
04a,2503,2565,2515,2515.0,2624,2644.6,2627.01,2662.19,46.41,3091,3227.0
05a,2189,2229,2208,2210.0,2415,2439.4,2424.35,2454.45,54.73,2808,3070.5
06a,2162,2216,2174,2175.0,2367,2407.6,2383.2,2432.0,89.9,2892,3075.1
07a,2187,2408,2217,2218.4,2549,2587.0,2562.85,2611.15,51.2,3044,3166.8
08a,2061,2093,2073,2073.0,2411,2441.6,2417.93,2465.27,127.92,2822,3069.9
09a,2061,2074,2066,2066.0,2411,2467.4,2411.55,2523.25,68.81,2852,3164.05
10a,2178,2362,2189,2191.0,2458,2498.0,2472.81,2523.19,109.95,3005,3220.4
11a,2017,2078,2063,2065.0,2396,2439.2,2389.93,2488.47,66.05,2869,3063.6
12a,1969,2047,2019,2022.0,2338,2375.6,2354.18,2397.02,222.46,2798,2959.85
13a,2161,2302,2194,2194.0,2567,2614.0,2584.85,2643.15,153.79,2991,3193.25
14a,2161,2183,2167,2168.2,2654,2698.0,2670.19,2725.81,61.41,3053,3351.45
15a,2161,2171,2165,2166.0,2568,2618.6,2571.87,2665.33,305.3,3064,3312.0
16a,2148,2301,2211,2212.6,2501,2577.2,2530.6,2623.8,153.62,3044,3227.1
17a,2088,2168,2109,2110.0,2532,2647.8,2591.69,2703.91,62.1,2993,3174.25
18a,2057,2139,2089,2089.0,2471,2600.2,2514.78,2685.62,91.98,3020,3169.0
