Problem,Paper_LB,Paper_UB,Paper_Best,Paper_Avg,My_GA_Best,My_GA_Avg,CI_Lower,CI_Upper,Avg_Time(s),Init_20_Best,Init_20_Avg
Mk01,36,42,40,40.0,42,42.0,42.0,42.0,1.91,45,56.45
Mk02,24,32,26,26.0,29,29.0,29.0,29.0,5.8,37,45.1
Mk03,204,211,204,204.0,204,204.0,204.0,204.0,3.43,204,241.75
Mk04,48,81,60,60.0,65,67.0,66.04,67.96,3.3,74,94.25
Mk05,168,186,173,173.0,178,179.4,178.21,180.59,15.33,191,214.25
Mk06,33,86,58,58.0,67,68.2,67.18,69.22,13.98,93,109.1
Mk07,133,157,144,145.0,144,145.8,143.93,147.67,9.96,169,205.05
Mk08,523,523,523,523.0,523,523.0,523.0,523.0,6.88,526,562.95
Mk09,299,369,307,307.0,311,313.8,310.6,317.0,59.14,348,408.4
Mk10,165,296,198,199.0,226,236.2,229.45,242.95,37.09,290,336.95
